seller_username,title,all_in_price,CT_list,player_guess
jemclau5287,2025 Topps Update Jake Burger #US98 Rangers,1.89,,Jake Burger
cubbie_1908,"2025 Topps Update Rainbow Foil US98 Jake Burger, Texas Rangers",3.35,Base Rainbow,Jake Burger
slabbyjoe,Jake Burger 2025 Topps Update #US98 Diamante Foil Texas Rangers,2.79,Diamante,Jake Burger
oceancardsandcollectables,2025 Topps Update #US98 Jake Burger Texas Rangers,1.69,,Jake Burger
mjl326,2025 Topps Update Jake Burger Exclusive Silver Foilboard #US98,4.0,,Jake Burger
mikeocardshop,2025 Topps Update Sandglitter Jake Burger Texas Rangers #US98,2.25,Sandglitter,Jake Burger
jakpi20,2025 Topps Update Jake Burger #US98 Texas Rangers Baseball Card,1.99,,Jake Burger
dunkjezcreations,2025 Topps Update #US98 Jake Burger Rainbow Foil,2.49,Base Rainbow,Jake Burger
kjcouch-1,2025 Topps Update Series Baseball Pink Holo Foil Jake Burger #US98 Rangers,3.79,,Jake Burger
acts_of_insanity,2025 Topps Update Jake Burger Diamante Foil #US98 NM Free Shipping,2.19,Diamante,Jake Burger
1967dew,2025 Topps Update #US98 Jake Burger - BB,2.49,,Jake Burger
mint10market,2025 Topps Update Jake Burger #US98 Pink Holo Foil Texas Rangers,3.31,,Jake Burger
dallasspo-31,2025 Topps Update #US98 Jake Burger Rainbow Foil,1.5,Base Rainbow,Jake Burger
katertot1372,2025 Topps Update US98 Jake Burger Rangers,2.25,,Jake Burger
pnw-406cardcollecting,Jake Burger Halloween Holiday Foil 2025 Topps Update Series #US98 Texas Rangers,1.75,,Jake Burger
626_baseballcards,2025 Topps Update Series Chrome - Jake Burger #USC37,2.19,Chrome,Jake Burger
firehousesportzcardz,2025 Topps Update #US98 Jake Burger,1.39,,Jake Burger
ricoscollectibles,2025 Topps Update Series - Jake Burger #US98,1.58,,Jake Burger
jason22711,Jake Burger 2025 Topps Update Gold Parallel 1980/2025 Texas Rangers #US98,5.04,Gold 2025,Jake Burger
black_squirrel_1,2025 Topps Update Jake Burger Diamante Foil Parallel US98 Texas Rangers,3.5,Diamante,Jake Burger
muck1201,2025 Topps Update Series Chrome - Jake Burger #USC37 Rangers,1.74,Chrome,Jake Burger
bob1981,2025 TOPPS UPDATE GOLD FOIL 10/50 JAKE BURGER #98 TEXAS RANGERS,31.49,Gold 50,Jake Burger
fritziefeet,Jake Burger 2025 Topps Update Purple Rainbow Foil SP /250 #US98 Texas Rangers,6.99,Purple Rainbow,Jake Burger
jagscollectables,2025 Topps Update #US98 Jake Burger,1.93,,Jake Burger
outfieldace,2025 Topps Update Gold Parallel Jake Burger /2025 Texas Rangers #US98,3.0,Gold 2025,Jake Burger
brwaddi_33,2025 Topps Update Jake Burger /250 Purple Foil #US98 Rangers,14.99,Purple Rainbow,Jake Burger
djchinosports,2025 Topps Update Series Base Jake Burger Texas Rangers #US98,2.08,,Jake Burger
wamacollectibles,2025 Topps Update Jake Burger Sandglitter Texas Rangers,2.5,Sandglitter,Jake Burger
tmgrnzx9r,2025 Topps Update Chrome JAKE BURGER Refractor USC37 Texas Rangers,1.65,Chrome,Jake Burger
brooksone23,2025 Topps Update Series Jake Burger Foil Parallel Card # US98,2.12,,Jake Burger
redskinmet72,2025 Topps Update Chrome JAKE BURGER Refractor USC37 Texas Rangers,1.6,Chrome,Jake Burger
yinzerpicker,2025 Topps Update Series Jake Burger #US98 Golden Mirror SSP Texas Rangers,34.96,"Golden Mirror, SSP",Jake Burger
overthamoon,2025 Topps Update Series - Jake Burger #US98 Rainbow Foil,2.25,Base Rainbow,Jake Burger
ericscardsii,Jake Burger 2025 Topps Update Texas Rangers #US98,1.66,,Jake Burger
per_6268,2025 Topps Update Series - Jake Burger #US98 Holiday,1.5,,Jake Burger
meccproducts,Jake Burger 2025 Topps Update Holo Foil #USC37,2.54,,Jake Burger
stallion6617,"2025 Topps Update Jake Burger #US98, True Photo Variation, Texas Rangers",60.0,Photo Variation,Jake Burger
greg-9671,2025 Topps Update Series - Jake Burger #US98 Rainbow Foil,1.99,Base Rainbow,Jake Burger
whitesoxfan8907,Jake Burger Texas Rangers 2025 Topps Update Pink Diamante US98,2.5,Diamante,Jake Burger
keebsalphapacks,2025 Topps Update Jake Burger 207/250 Purple Foil #US98 Rangers,10.99,Purple Rainbow,Jake Burger
junkwaxkids,2025 Topps Update #US98 Jake Burger Diamante Foil,1.99,Diamante,Jake Burger
wickywicky1982,2025 Topps Update Chrome JAKE BURGER Refractor USC37 Texas Rangers,2.45,Chrome,Jake Burger
garbagepailkidsstore,2025 Topps Update Series Jake Burger Pink Diamante Foil Parallel #US98 SP,3.56,Diamante,Jake Burger
1621pamelam,2025 Topps Update Vintage Stock Jake Burger #US98 Texas Rangers /99,7.74,Vintage 99,Jake Burger
vladtheinhaler,"2025 Topps Update Series Baseball US98 Jake Burger, Texas Rangers",1.61,,Jake Burger
saratogasportscardco,Brandon Young Rookie 2025 Topps Update Green Holo Foil #/99 #US97 Orioles,9.99,Green Foil,Brandon Young
whitesoxfan8907,Brandon Young RC Orioles 2025 Topps Update Series US97 Sandglitter SP,1.75,Sandglitter,Brandon Young
cobra22nd,2025 Topps Update #US97 Brandon Young RC Baltimore Orioles,1.99,,Brandon Young
njtreasures0108,2025 Topps Update #US97 Brandon Young Sandglitter Baltimore Orioles Rookie,1.99,Sandglitter,Brandon Young
ericscardsii,Brandon Young 2025 Topps Update Gold /2025 #US97 Baltimore Orioles RC,3.69,Gold 2025,Brandon Young
jkcr_29,Brandon Young 2025 Topps Update #US97 RC Baltimore Orioles,1.49,,Brandon Young
wncardcollectors,2025 Topps Update Series Brandon Young #US97 Green Holofoil /99 (RC),4.5,Green Foil,Brandon Young
dkbbl8,2025 Topps Update #US97 Brandon Young Rookie Baltimore Orioles,1.49,,Brandon Young
jemclau5287,2025 Topps Update Series - Brandon Young #US97 (RC),1.99,,Brandon Young
staja8733,2025 Topps Update Rainbow Foil #US97 Brandon Young RC Baltimore Orioles,2.19,Base Rainbow,Brandon Young
tross_sports,2025 Topps Update Series Brandon Young (RC) Golden Mirror SSP #US97 Orioles,46.32,"Golden Mirror, SSP",Brandon Young
comebackcollectibles,2025 Topps Update Brandon Young Rookie #US97 Baltimore Orioles,1.99,,Brandon Young
jadz-78,Brandon Young Rookie 2025 Topps Update Halloween Foil Parallel #US97 Orioles RC,2.46,,Brandon Young
generalbentleytrading,2025 Topps Update Series #US97 Brandon Young (RC),1.49,,Brandon Young
rack_pack_cards,Brandon Young RC 2025 Topps Update Rookie Orioles,2.0,,Brandon Young
dfw_bullionandcollectibles,2025 Topps Update #US97 Brandon Young (RC) ROOKIE   -   Baltimore Orioles,1.79,,Brandon Young
rt_card_vault,2025 Topps Update #US97 Brandon Young Orioles (RC) Gold Diamante Foil #/50,11.24,"Diamante, Gold 50",Brandon Young
dw_2005,2025 Topps Update - Brandon Young #US97 Value Box Holiday RC,2.46,,Brandon Young
rainforrestcardshop,2025 Topps Update #US97 Brandon Young Diamante Foil,2.0,Diamante,Brandon Young
wny_hobbyclub,2025 Topps Update Brandon Young Rookie,1.99,,Brandon Young
burrow2chase88,Brandon Young 2025 Topps Update Rookie GREEN FOIL REFRACTOR SSP/99 ORIOLES STUD!,25.49,"Green Foil, SSP",Brandon Young
vintage-62,Brandon Young 2025 Topps Update #US97 RC - Baltimore Orioles,1.99,,Brandon Young
culver_trading,2025 Topps Update | Brandon Young #US97 | Sandglitter | Orioles,2.5,Sandglitter,Brandon Young
jakpi20,2025 Topps Update Brandon Young #US97 Rookie Card Baltimore Orioles,1.99,,Brandon Young
rack_pack_cards,Brandon Young RC 2025 Topps Update Rookie Orioles,2.0,,Brandon Young
col_65924,2025 Topps Update Series - Brandon Young #US97 Holiday Orange & Black Foil (RC),1.99,Orange Black,Brandon Young
mostarcollectibles,2025 Topps Update Baseball - Brandon Young Rookie #US97 (Gold Border /2025),4.31,Gold 2025,Brandon Young
arrc-cards,Brandon Young RC - Rainbow Foil - 2025 Topps Update #97 Baltimore Orioles,2.85,Base Rainbow,Brandon Young
dkbbl8,2025 Topps Update #US97 Brandon Young Rookie Baltimore Orioles,1.49,,Brandon Young
ericscardsii,Brandon Young 2025 Topps Update Baltimore Orioles #US97,1.66,,Brandon Young
houseofcardsop,Brandon Young 2025 Topps Update Series Pink Foil #US97 RC Rookie Orioles,2.79,,Brandon Young
firegirlbear1,2025 Topps Update #US97 Brandon Young,1.35,,Brandon Young
dw_2005,2025 Topps Update Series - Brandon Young #US97 Rainbow Foil (RC),2.46,Base Rainbow,Brandon Young
muck1201,2025 Topps Update - #US97 Brandon Young Orioles,1.74,,Brandon Young
bassmanray03,2025 Topps Update #US97 Brandon Young,1.59,,Brandon Young
aravmehta_5510,2025 Topps Update Series - Brandon Young #US97 Holofoil (RC),1.99,,Brandon Young
bucsco78_1,2025 Topps Update Brandon Young Gold 1436/2025 #US97 RC Rookie Orioles,3.88,Gold 2025,Brandon Young
tenobo23,2025 Topps Update Series #US97 Brandon Young Golden Mirror SSP Rookie RC,39.75,"Golden Mirror, SSP",Brandon Young
j_a_b_o_tcg,2025 Topps Update Brandon Young US97 Fanatics Exclusive Rookie Topps Foil,1.98,,Brandon Young
nxt_2nothing_vtg,2025 Topps Update #US97 Brandon Young,2.25,,Brandon Young
slammer1981,2025 Topps Update Series - #US97 Brandon Young (RC),1.84,,Brandon Young
twin-city-fanaddicts,2025 Topps Update #US97 Brandon Young Holiday Jack O’Lantern,3.5,Holiday Jackolantern,Brandon Young
dkbbl8,2025 Topps Update #US97 Brandon Young Rookie Baltimore Orioles,1.39,,Brandon Young
bowman1235,2025 Topps Update Series - Brandon Young #US97 Gold 0504 /2025 (RC) Orioles,4.89,Gold 2025,Brandon Young
northstarcc,2025 Topps Update #US97 Brandon Young holiday,2.95,,Brandon Young
niweb7358,"2025 Topps Update Series Baseball US97 Brandon Young, Baltimore Orioles RC",1.75,,Brandon Young
rhay5699,Brandon Young 2025 Topps Update Series Rookie Cards,1.74,,Brandon Young
tri-statetoploaders,2025 Topps Update #US97 Brandon Young,1.98,,Brandon Young
kegall-87,Brandon Young 2025 Topps Update #US97 Baltimore Orioles RC,1.68,,Brandon Young
pickledpicksandpulls,Brandon Young 2025 Topps Update Purple Holo Foil /250 #US97 RC Baltimore Orioles,10.28,Purple Rainbow,Brandon Young
slammer1981,2025 Topps Update Series - Brandon Young #US97 (RC),1.84,,Brandon Young
value_box_cards,2025 Topps Update #US97 Brandon Young,1.75,,Brandon Young
thesteinie,2025 Topps Update Brandon Young RC #US97 Pink Diamante Parallel Orioles,4.55,Diamante,Brandon Young
col_65924,2025 Topps Update Series - Brandon Young #US97 Rainbow Foil (RC),2.98,Base Rainbow,Brandon Young
cwerb17,2025 Topps Update GOLD #US97 Brandon Young RC #0904/2025 Baltimore Orioles,2.27,Gold 2025,Brandon Young
junkwaxkids,2025 Topps Update #US97 Brandon Young BUY2GET1 CODE: JWKFAN25,1.59,,Brandon Young
oceancardsandcollectables,2025 Topps Update #US97 Brandon Young Baltimore Orioles RC,1.69,,Brandon Young
fantasyj_63,2025 Topps Update Brandon Young Rookie GOLD FOIL REFRACTOR /50 #Orioles,31.98,Gold 50,Brandon Young
hulkmaster_5,2025 Topps Update #US97 Brandon Young Pink Diamante Foil,3.31,Diamante,Brandon Young
ppgshader,2025 Topps Update Brandon Young Gold Parallel RC 1281/2025 Orioles #US97,2.5,Gold 2025,Brandon Young
josnic-9149,2025 Topps Update Brandon Young #US97 ROOKIE PURPLE FOIL #'d /250 Orioles,3.0,Purple Rainbow,Brandon Young
jts_fieldofcards,2025 Topps Update #US97 Brandon Young (RC) ✨SP-GOLD /2025✨ Baltimore Orioles,2.25,Gold 2025,Brandon Young
katertot1372,2025 Topps Update Rainbow Foil US97 Brandon Young (RC) Orioles,2.5,Base Rainbow,Brandon Young
jts_fieldofcards,2025 Topps Update✨Holiday Holo Foil✨#US97 Brandon Young (RC) Baltimore Orioles,2.7,,Brandon Young
loacollectibles,2025 Topps Update Series BRANDON YOUNG Baltimore Orioles Rookie SILVER FOILBOARD,6.99,,Brandon Young
payro-70,2025 Topps Update Diamante Foil #US97 Brandon Young RC - Baltimore Orioles,2.03,Diamante,Brandon Young
wg5727,2025 Topps Update Series - Brandon Young #US97 (RC),1.49,,Brandon Young
hawk_tc_co,Brandon Young 2025 Topps Update #US97 RC Rookie Baltimore Orioles,2.09,,Brandon Young
magic_pin_keepers,2025 Topps Update #US97 Brandon Young,1.49,,Brandon Young
bensonscardhouse,2025 Topps Update Series - Brandon Young #US97 Blue HoloFoil /150 (RC),5.43,Blue Rainbow,Brandon Young
cubbie_1908,"2025 Topps Update US97 Brandon Young, Baltimore Orioles RC",2.5,,Brandon Young
krgan313,2025 Topps Update Series - Brandon Young #US97 Rainbow Foil (RC),1.59,Base Rainbow,Brandon Young
shoeboxsports24,2025 Topps Update Series Brandon Young (RC) #US97 - Rainbow Foil - Orioles,2.99,Base Rainbow,Brandon Young
19jps76,2025 Topps Update (×2) Pink Foil/Base #US97 Brandon Young RC's (GIANTS) !!,2.99,,Brandon Young
jts_fieldofcards,2025 Topps Update Series #US97 Brandon Young (RC) Baltimore Orioles,1.74,,Brandon Young
dkbbl8,2025 Topps Update #US97 Brandon Young Rookie Baltimore Orioles,1.29,,Brandon Young
bassmanray03,2025 Topps Update #US97 Brandon Young,1.59,,Brandon Young
jos-762161,2025 Topps Update Series Brandon Young Holiday Foil Parallel RC US97,1.5,,Brandon Young
snakepit585,2025 Topps Update Series - Brandon Young #US97 (RC),2.69,,Brandon Young
rack_pack_cards,Brandon Young RC 2025 Topps Update Rookie Orioles,2.0,,Brandon Young
twodopebreaks,2025 Topps Update Brandon Young #US97 Silver Foilboard RC San Francisco Giants,2.49,,Brandon Young
ricul37,"2025 Topps Update Series Baseball US97 Brandon Young, Baltimore Orioles RC",1.75,,Brandon Young
buggsuperstar5,2025 Topps Update Series BRANDON YOUNG US97 Sandglitter SP RC Orioles,1.95,Sandglitter,Brandon Young
slammer1981,2025 Topps Update Series - Brandon Young #US97 (RC),1.84,,Brandon Young
qrcollectables,2025 Topps Update Baseball #US97 Brandon Young Baltimore Orioles Rookie,1.98,,Brandon Young
hbggaming,2025 Topps Update Series #US97 Brandon Young Rookie Independence Day /76 (RC),39.97,Independence Day 76,Brandon Young
reaperripssportscards,Brandon Young Rookie #US97 2025 Topps Update Holo Foil Baltimore Orioles Card NM,3.99,,Brandon Young
dkbbl8,2025 Topps Update #US97 Brandon Young Rookie Baltimore Orioles,1.49,,Brandon Young
ryman2011_0,2025 Topps Update #US97 Brandon Young Purple Rainbow Foil #/250,2.47,Purple Rainbow,Brandon Young
talbuc,2025 Topps Update Series - Brandon Young #US97 Rainbow Foil (RC),2.0,Base Rainbow,Brandon Young
homeofthecards,2025 Topps Update #US97 Brandon Young Diamante Foil,2.0,Diamante,Brandon Young
chelloscards,2025 Topps Update #US97 Brandon Young Holo Foil,3.0,,Brandon Young
bumpkincrafter,2025 Topps Update Silver Foilboard Brandon Young RC # US97,2.39,,Brandon Young
mithokie,2025 Topps Update Series - Brandon Young #US97 Gold /2025 (RC),4.57,Gold 2025,Brandon Young
gq_cards,2025 Topps Update #US96 J.C. Escarra Rainbow Foil,3.17,Base Rainbow,J.C. Escarra
waxmax406,2025 Topps Update Series J.C. Escarra Gold Border RC #1182/2025 Yankees #US96,5.98,Gold 2025,J.C. Escarra
all-starcardsandmore,2025 Topps Update #US96 J.C. Escarra Rookie New York Yankees,1.99,,J.C. Escarra
leightonsportscards,J.C. Escarra RC - 2025 Topps Update Series Pink Holo Foil SP - New York Yankees!,4.49,,J.C. Escarra
cardfinders,2025 Topps Update Rainbow Foil Parallel J.C. Escarra Yankees RC US96,2.48,Base Rainbow,J.C. Escarra
athletesbest,2025 Topps Update #US96 J.C. Escarra FoilFractor #/1,6.25,Foil Fractor 1of1,J.C. Escarra
spauldingcards,2025 Topps Update Series #US96 J.C. Escarra - RC,2.0,,J.C. Escarra
626_baseballcards,2025 Topps Update Series Chrome - J.C. Escarra (RC) #USC197,2.29,Chrome,J.C. Escarra
afine9,2025 Topps Update J.C. Escarra Fanatics Topps Logo Foil #US96 Yankees Rookie RC,1.89,,J.C. Escarra
heyyoeddie,J.C. Escarra 2025 Topps Update Holiday Orange/Black RC New York Yankees #US96,3.28,Orange Black,J.C. Escarra
417dlthome,2025 Topps Update  J.C. Escarra Rookie RC Purple Refractor #/250 Yankees #US96,5.99,Purple Rainbow,J.C. Escarra
magic_pin_keepers,2025 Topps Update #US96 J.C. Escarra,1.49,,J.C. Escarra
afine9,2025 Topps Update J.C. Escarra Sand Glitter #US96 New York Yankees RC,3.49,Sandglitter,J.C. Escarra
mostarcollectibles,2025 Topps Update Baseball - J.C. Escarra Rookie #US96 (Aqua Foil),5.31,,J.C. Escarra
pskell02,2025 Topps Update J.C. Escarra #US96,1.84,,J.C. Escarra
thecord44,2025 Topps Update Series #US96 J.C. Escarra Sandglitter RC New York Yankees,2.24,Sandglitter,J.C. Escarra
micgonz_92,2025 Topps Update J.C. Escarra Rookie-New York Yankees #US96,2.0,,J.C. Escarra
junkwaxkids,2025 Topps Update #US96 J.C. Escarra,1.39,,J.C. Escarra
19jps76,2025 Topps Update (×2) Sand Glitter/Base J.C. Escarra RCS (YANKEES) !!,2.79,Sandglitter,J.C. Escarra
sweet-tea-pickins,2025 Topps Update Series J.C. Escarra,1.85,,J.C. Escarra
jenscards22,2025 Topps Update J.C. Escarra Gold RC /2025 New York Yankees US96,3.99,Gold 2025,J.C. Escarra
arrc-cards,J.C. Escarra RC - Pink Holo Foil - 2025 Topps Update #US96 New York Yankees,4.85,,J.C. Escarra
robert2575,2025 Topps Update #US96 J.C. Escarra Blue Holo Foil #/150,7.48,Blue Rainbow,J.C. Escarra
ppgshader,2025 Topps Update Series J.C. Escarra Diamante Foil RC New York Yankees #US96,2.5,Diamante,J.C. Escarra
aus-158089,2025 Topps Update #US96 J.C. Escarra,1.88,,J.C. Escarra
creamcitysportscards_3,2025 Topps Update #US96 J.C. Escarra RC Holiday Mummy Foil /50 New York Yankees,20.0,Holiday Mummy,J.C. Escarra
ericobizzle11,J.C. Escarra Holiday Foil Rookie RC 2025 Topps Update Series Card #US52 Yankees,1.99,,J.C. Escarra
southbg,2025 Topps Update #US96 J.C. Escarra,1.99,,J.C. Escarra
bigkel73,2025 Topps Update Series J.C. Escarra Diamante Foil RC New York Yankees #US96,1.85,Diamante,J.C. Escarra
ericscardsii,J.C. Escarra 2025 Topps Update New York Yankees #US96,1.66,,J.C. Escarra
value_box_cards,2025 Topps Update #US96 J.C. Escarra,1.75,,J.C. Escarra
djchinosports,2025 Topps Update Series Base J.C. Escarra RC New York Yankees #US96,2.78,,J.C. Escarra
tysonokay,J.C. Escarra (RC) 2025 Topps Update Series US96 Fanatics Exclusive Topps Foil SP,2.99,,J.C. Escarra
jkcsportscards,2025 Topps Update #US96 J.C. Escarra Rainbow Foil,2.08,Base Rainbow,J.C. Escarra
bumpkincrafter,2025 Topps Update Foil J.C. Escarra RC # US96,2.39,,J.C. Escarra
jefmey2,2025 Topps Update Series J.C. Escarra Rainbow Foil #US96 RC,1.79,Base Rainbow,J.C. Escarra
mikeocardshop,2025 Topps Update Silver Patterned Foilboard J.C. Escarra RC Yankees #US96,2.99,,J.C. Escarra
ohiostate-buckeyes,J.C. Escarra 2025 TOPPS UPDATE SERIES Baseball Card,3.75,,J.C. Escarra
dasan_8967,2025 Topps Update #US96 J.C. Escarra Purple Holo Foil #/250,6.09,Purple Rainbow,J.C. Escarra
mostarcollectibles,2025 Topps Update Baseball - J.C. Escarra Rookie #US96 (Gold Border /2025),4.31,Gold 2025,J.C. Escarra
whitesoxfan8907,J.C. Escarra Sandglitter Yankees Rookie 2025 Topps Update #US96,2.5,Sandglitter,J.C. Escarra
grimstradingcards,2025 Topps Update #US96 J.C. Escarra,1.88,,J.C. Escarra
loacollectibles,2025 Topps Update Series J.C. ESCARRA New York Yankees ROOKIE HOLO FOIL #US96,2.48,,J.C. Escarra
5handssportscards,J.C. Escarra 2025 Topps Update #US96 Rookie Black Rainbow Foil /10,80.98,Black 10,J.C. Escarra
garygunner,2025 Topps Update Sandglitter #US96 J.C. Escarra,2.25,Sandglitter,J.C. Escarra
jts_fieldofcards,2025 Topps Update Series #US96 J.C. Escarra (RC) New York Yankees,1.74,,J.C. Escarra
whodeyf_31,2025 TOPPS UPDATE TRUE PHOTO VARIATION US96 J.C. ESCARRA NEW YORK YANKEES,28.99,Photo Variation,J.C. Escarra
linedrivecards,2025 Topps Update #US96 J.C. Escarra Holiday New York Yankees Rookie,1.99,,J.C. Escarra
black_squirrel_1,2025 Topps Update J.C. Escarra Holiday Parallel US96 New York Yankees,2.0,,J.C. Escarra
jamcards5,J.C. Escarra Rookie Card 2025 Topps Update New York Yankees #US96,2.31,,J.C. Escarra
themagentatrade,2025 Topps Update #US96 J.C. Escarra Holiday New York Yankees Rookie,2.73,,J.C. Escarra
